FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11941,49.9321,83.7681,113.9443,2.5263,40.0634,0.4387,0.6329,83.2672
11942,67.5551,82.7206,133.3118,2.6212,37.4317,0.4486,0.6472,80.2578
11943,31.9565,77.5652,133.1969,3.3542,30.1412,0.5168,0.7456,80.5401
11944,39.1513,97.7273,26.9568,1.1842,84.5091,0.1085,0.1565,95.8111
11945,31.5505,96.1538,45.6193,1.6795,76.2715,0.163,0.2352,92.8091
11946,41.1205,81.3299,129.1407,2.8625,33.9611,0.4814,0.6945,81.0719
11947,43.0664,49.375,157.7938,3.0694,42.6839,0.695,0.6326,77.2367
11948,16.0534,83.4409,102.759,3.3115,40.7392,0.4471,0.645,85.0546
11949,71.7773,84.375,84.7215,1.5,48.8182,0.3768,0.5436,88.6856
11950,24.8887,84.8297,104.3937,2.9902,42.5877,0.4257,0.6141,84.5654
11951,37.3752,77.5148,121.3172,2.6892,32.7052,0.502,0.7243,82.0935
11952,17.6295,96.0526,32.6995,1.5116,77.7621,0.1663,0.2399,95.3574
11953,11.275,99.0182,12.3577,1.2407,92.1641,0.0552,0.0796,98.1433
11954,17.4006,99.2424,10.2693,1.087,93.3252,0.0445,0.0643,98.4119
11955,42.5347,98.1481,18.827,1.1,87.4257,0.0922,0.133,97.0696
11956,45.9375,80.6857,126.6465,3.725,34.6101,0.4808,0.6936,81.3634
11957,34.8011,89.697,98.585,1.9231,52.36,0.3317,0.4785,85.4624
11958,48.2344,78.0,151.1432,3.4778,27.705,0.5218,0.7528,77.6694
11959,33.7776,46.2185,130.9979,2.4839,13.444,0.6909,0.9967,81.9052
11960,22.5184,96.0784,38.2077,1.561,76.8928,0.1654,0.2387,94.4155
11961,52.2017,65.9091,177.145,2.2105,11.9206,0.6416,0.9257,74.1851
11962,34.8011,93.9394,38.5098,1.3261,70.6272,0.2286,0.3298,95.6768
11963,38.2812,54.8485,125.2851,2.6486,16.9968,0.6635,0.9572,82.34
11964,31.321,60.303,171.4969,3.2568,10.6058,0.6678,0.9634,74.936
11965,95.7031,70.2381,217.8553,2.4211,12.6191,0.6088,0.8784,66.4157
11966,44.0577,56.6496,190.2442,4.9375,9.2239,0.6664,0.9614,71.8779
11967,16.0781,69.0,121.3212,2.9889,21.8624,0.6191,0.8932,82.7468
11968,16.0781,97.3,26.4331,1.625,82.8744,0.1242,0.1791,96.101
11969,47.8515,65.8333,158.1468,2.2727,15.1179,0.6306,0.9097,77.25
11970,69.411,78.022,148.9609,2.4815,27.9355,0.5196,0.7496,77.9951
11971,50.1302,47.2222,203.0626,3.3594,5.3686,0.6878,0.9923,70.0635
11972,3.0382,99.8677,1.3448,1.0273,98.6874,0.0101,0.0146,99.7991
11973,33.7776,82.9412,59.8034,1.5556,47.3141,0.4474,0.6454,92.5294
